% from http://www2.cs.uh.edu/~ml_kdd/Complex&Diamond/complex&diamond.htm
% Salvador, S. and Chan, P.,Determining the Number of Clusters/Segments in Hierarchical clustering/Segmentation Algorithm, ICTAI 2004,576-584.
@RELATION diamond9

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8}

@DATA
-0.90329,-0.668182,0
-0.899872,0.434753,0
-0.898071,0.411591,0
-0.894867,0.359741,0
-0.893799,-0.368439,0
-0.888428,-0.10202,0
-0.885254,-0.304688,0
-0.88092,0.247192,0
-0.878265,0.284424,0
-0.872772,0.0657349,0
-0.868378,-0.847046,0
-0.867401,-0.515228,0
-0.862793,0.706848,0
-0.859894,0.738953,0
-0.858368,0.172302,0
-0.857239,-0.689484,0
-0.852692,-0.165894,0
-0.846558,-0.721924,0
-0.842773,-0.727783,0
-0.840393,0.52359,0
-0.83847,-0.66745,0
-0.834717,0.17984,0
-0.83197,0.206512,0
-0.827545,-0.0689087,0
-0.824677,-0.549866,0
-0.823425,0.374237,0
-0.822388,0.452728,0
-0.82074,-0.481903,0
-0.817078,0.0176697,0
-0.813049,0.237823,0
-0.811646,-0.343109,0
-0.808594,0.787079,0
-0.806091,0.715576,0
-0.803162,0.451691,0
-0.79834,-0.282349,0
-0.797028,0.576294,0
-0.795044,0.772949,0
-0.792145,0.474091,0
-0.788574,0.128326,0
-0.785889,0.245972,0
-0.781128,-0.077179,0
-0.778259,0.568634,0
-0.775452,-0.643127,0
-0.769623,0.423828,0
-0.764374,0.108795,0
-0.757263,0.129242,0
-0.750793,-0.570679,0
-0.748169,0.462189,0
-0.746399,0.0569458,0
-0.742706,-0.109619,0
-0.738098,-0.31134,0
-0.730591,0.348969,0
-0.722961,-0.560974,0
-0.720428,0.568726,0
-0.717102,0.227417,0
-0.71225,-0.168945,0
-0.700378,-0.322174,0
-0.693604,-0.28421,0
-0.689697,0.154266,0
-0.686646,0.143219,0
-0.680115,0.0863342,0
-0.673859,0.2547,0
-0.669128,-0.562744,0
-0.665955,0.582977,0
-0.662598,0.393372,0
-0.658447,0.0443726,0
-0.651062,0.462158,0
-0.648407,-0.0144958,0
-0.642487,-0.618073,0
-0.639008,-0.379883,0
-0.636566,0.454041,0
-0.628998,-0.0436401,0
-0.625916,0.0791321,0
-0.618042,0.441925,0
-0.615662,0.243927,0
-0.611298,0.550171,0
-0.606445,-0.3974,0
-0.602142,-0.119781,0
-0.60141,-0.43277,0
-0.598938,0.349792,0
-0.589081,0.49411,0
-0.588318,0.232056,0
-0.583527,0.476624,0
-0.575287,0.122253,0
-0.57251,-0.221619,0
-0.570862,0.318176,0
-0.568298,0.0210571,0
-0.555969,-0.466614,0
-0.552521,0.359222,0
-0.546753,-0.476837,0
-0.543915,-0.271881,0
-0.538666,0.494843,0
-0.534363,-0.126862,0
-0.519043,0.109436,0
-0.509277,0.453735,0
-0.503113,-0.439026,0
-0.499329,-0.274139,0
-0.49646,0.33432,0
-0.490753,0.382355,0
-0.483124,-0.14035,0
-0.4758,-0.452026,0
-0.468842,-0.209991,0
-0.463226,0.300842,0
-0.455109,0.36499,0
-0.453064,0.089325,0
-0.451263,-0.351044,0
-0.447388,-0.394501,0
-0.44046,0.158386,0
-0.433319,0.0203247,0
-0.429871,0.39621,0
-0.424805,0.207031,0
-0.419037,-0.195618,0
-0.415894,0.306641,0
-0.409271,-0.0709229,0
-0.399261,-0.27536,0
-0.393799,-0.195526,0
-0.374939,0.0413513,0
-0.371338,-0.160187,0
-0.367035,-0.311249,0
-0.356689,-0.0560303,0
-0.349274,-0.199585,0
-0.343719,-0.00466919,0
-0.337585,-0.307465,0
-0.330872,0.180237,0
-0.312378,0.0904236,0
-0.307129,-0.30304,0
-0.302338,0.135315,0
-0.295898,0.109589,0
-0.29126,-0.0582275,0
-0.272339,-0.0432129,0
-0.260773,0.148071,0
-0.255249,0.215088,0
-0.232117,-0.0505066,0
-0.226471,0.0637207,0
-0.214508,0.17041,0
-0.204773,-0.196503,0
-0.182526,0.099823,0
-0.16333,0.0557556,0
-0.148804,-0.0747986,0
-0.142639,0.109314,0
-0.131531,-0.0812073,0
-0.113983,0.0637207,0
-0.104889,-0.0725098,0
-0.0978394,0.0479126,0
